,45226
0.2,1
0.22,256
0.23,85
0.24,3
0.25,9
0.27,48
0.28,27
0.29,25
0.3,341
0.31,60
0.32,45
0.33,1
0.34,2
0.35,10
0.36,2
0.37,46
0.38,6
0.39,511
0.4,19
0.41,14
0.42,3
0.43,40
0.44,9
0.45,5
0.46,7
0.47,127
0.48,1
0.49,258
0.5,6
0.51,7
0.52,17
0.53,2
0.54,15
0.55,63
0.56,15
0.57,2
0.58,3
0.59,254
0.6,3
0.61,3
0.62,4
0.63,37
0.65,20
0.66,15
0.67,5
0.68,3
0.69,33
0.7,9
0.71,22
0.72,25
0.73,10
0.74,51
0.75,14
0.76,2
0.77,9
0.78,51
0.79,8160
0.8,13
0.81,94
0.82,9
0.83,5
0.84,14
0.85,7
0.86,14
0.87,11
0.88,4
0.89,125
0.9,54
0.91,5
0.92,2
0.95,31
0.97,5
0.98,14
0.99,3824
1.01,3
1.03,10
1.04,8
1.06,4
1.07,20
1.08,1
1.09,25
1.1,1
1.11,20
1.12,3
1.13,4
1.14,3
1.15,8
1.16,2
1.17,4
1.19,140
1.2,5
1.22,2
1.23,3
1.24,48
1.25,8
1.26,6
1.27,27
1.29,6
1.3,5
1.31,15
1.32,1
1.34,11
1.35,7
1.37,2
1.39,53
1.4,13
1.42,4
1.43,25
1.44,1
1.45,1
1.46,6
1.47,4
1.48,5
1.49,326
1.5,33
1.52,4
1.54,4
1.55,17
1.56,2
1.57,6
1.58,12
1.59,4631
1.6,8
1.61,4
1.62,4
1.63,11
1.64,58
1.66,2
1.67,36
1.68,2
1.69,116
1.7,7
1.71,14
1.74,67
1.75,11
1.76,3
1.77,1
1.78,2
1.79,83
1.8,14
1.81,1
1.82,19
1.84,4
1.85,2
1.86,4
1.87,6
1.88,4
1.89,10
1.9,7
1.91,5
1.93,2
1.94,17
1.95,13
1.97,19
1.99,4501
2.03,12
2.04,15
2.05,1
2.06,3
2.07,1
2.09,73
2.1,1
2.11,1
2.12,2
2.13,8
2.15,11
2.18,1
2.19,11
2.2,6
2.22,2
2.24,21
2.25,3
2.27,20
2.28,1
2.29,13
2.3,26
2.31,1
2.33,28
2.34,1
2.35,6
2.37,3
2.38,2
2.39,3612
2.4,3
2.41,1
2.43,6
2.44,3
2.45,17
2.46,9
2.49,355
2.5,39
2.52,1
2.53,1
2.54,10
2.55,4
2.56,7
2.58,3
2.59,17
2.6,2
2.61,1
2.62,2
2.63,14
2.64,2
2.65,1
2.66,2
2.67,6
2.69,39
2.7,1
2.71,1
2.73,1
2.74,13
2.75,1
2.78,1
2.79,55
2.8,2
2.84,35
2.86,21
2.87,2
2.89,11
2.9,2
2.91,12
2.92,5
2.93,3
2.94,12
2.95,4
2.96,3
2.97,1
2.98,3
2.99,5246
3.06,1
3.07,2
3.08,1
3.09,4
3.1,2
3.11,2
3.12,9
3.14,2
3.15,1
3.16,1
3.19,43
3.2,1
3.21,1
3.22,1
3.23,4
3.24,16
3.25,2
3.27,14
3.28,1
3.29,2407
3.3,3
3.32,1
3.33,4
3.34,6
3.35,3
3.36,7
3.37,2
3.39,35
3.4,2
3.41,5
3.42,1
3.44,2
3.45,2
3.47,1
3.49,246
3.5,21
3.51,3
3.53,1
3.54,1
3.55,1
3.57,1
3.59,53
3.6,4
3.62,2
3.63,2
3.64,1
3.66,1
3.68,4
3.69,29
3.7,1
3.73,1
3.74,42
3.78,2
3.79,6
3.81,2
3.85,1
3.86,2
3.87,2
3.88,2
3.89,14
3.9,9
3.91,1
3.93,1
3.94,1
3.95,6
3.96,1
3.97,1
3.98,15
3.99,8468
4.04,1
4.05,2
4.09,200
4.1,1
4.11,1
4.12,2
4.13,2
4.14,1
4.15,1
4.19,35
4.2,7
4.21,1
4.22,1
4.23,1
4.24,25
4.25,3
4.26,5
4.29,7
4.3,3
4.35,4
4.37,4
4.38,2
4.39,19
4.4,5
4.41,4
4.42,1
4.43,4
4.45,1
4.47,5
4.49,180
4.5,32
4.54,3
4.55,5
4.59,11
4.6,1
4.61,8
4.63,2
4.65,1
4.67,4
4.68,1
4.69,5
4.71,3
4.74,3
4.75,2
4.77,2
4.79,24
4.8,1
4.82,7
4.83,1
4.84,6
4.87,12
4.88,2
4.89,4
4.9,11
4.91,13
4.92,2
4.93,1
4.94,10
4.95,9
4.96,1
4.97,1
4.99,7466
5.02,1
5.03,31
5.05,1
5.07,1
5.09,5
5.1,1
5.11,1
5.12,1
5.13,2
5.14,1
5.16,3
5.17,1
5.19,6
5.2,3
5.21,1
5.23,1
5.24,7
5.26,2
5.27,5
5.29,2
5.3,5
5.31,1
5.32,6
5.35,1
5.39,11
5.4,1
5.45,3
5.47,1
5.48,1
5.49,74
5.5,3
5.51,6
5.54,1
5.55,1
5.59,9
5.6,6
5.65,3
5.67,1
5.69,1616
5.7,3
5.73,14
5.74,7
5.79,10
5.8,1
5.81,3
5.83,1
5.84,1
5.85,21
5.87,7
5.89,411
5.9,3
5.91,2
5.93,6
5.94,1
5.95,1
5.96,1
5.97,1
5.99,1196
6.02,2
6.03,1
6.05,6
6.06,2
6.09,1
6.1,6
6.12,2
6.13,1
6.14,4
6.15,7
6.19,3
6.2,3
6.23,2
6.24,25
6.29,18
6.32,1
6.33,3
6.38,2
6.39,6
6.47,4
6.49,42
6.5,9
6.55,10
6.57,1
6.58,1
6.59,1501
6.6,8
6.62,2
6.64,3
6.65,2
6.66,5
6.69,9
6.71,3
6.74,4
6.75,1
6.77,1
6.79,9
6.8,1
6.81,1
6.82,12
6.83,2
6.86,5
6.88,1
6.89,337
6.9,6
6.93,1
6.95,7
6.96,2
6.98,1
6.99,1228
7.01,1
7.03,1
7.04,1
7.07,2
7.09,2
7.14,3
7.19,9
7.24,1
7.25,2
7.29,2
7.3,3
7.31,6
7.34,1
7.35,1
7.37,3
7.38,1
7.39,705
7.49,78
7.5,2
7.55,2
7.59,11
7.64,2
7.67,2
7.69,2
7.7,2
7.76,1
7.77,1
7.79,348
7.8,11
7.87,1
7.89,2
7.9,7
7.91,3
7.95,4
7.99,1390
8.02,1
8.04,1
8.07,1
8.09,6
8.1,2
8.11,7
8.13,1
8.15,1
8.19,4294
8.2,3
8.22,2
8.23,1
8.24,11
8.25,2
8.27,1
8.28,3
8.29,2
8.31,1
8.35,1
8.36,1
8.39,31
8.45,1
8.49,47
8.5,17
