,15251
1969-12-31,5
1997-06-30,1
1997-11-14,1
1998-11-08,1
1999-04-01,1
1999-09-08,1
1999-11-01,1
2000-11-01,2
2001-03-15,1
2001-06-01,2
2001-12-01,1
2002-08-28,1
2003-05-01,1
2003-07-01,1
2003-11-01,1
2004-03-01,2
2004-05-01,1
2004-06-01,1
2004-11-01,3
2004-11-16,1
2004-12-01,1
2005-04-01,1
2005-07-11,1
2005-07-14,2
2005-08-16,1
2005-10-12,2
2005-10-27,1
2006-02-07,2
2006-03-14,1
2006-04-01,2
2006-05-01,4
2006-05-08,1
2006-05-10,1
2006-06-01,1
2006-06-29,2
2006-07-06,5
2006-07-07,1
2006-07-11,1
2006-07-21,2
2006-07-26,1
2006-08-23,1
2006-08-24,2
2006-08-30,15
2006-09-07,1
2006-09-11,1
2006-09-14,3
2006-09-29,2
2006-10-05,1
2006-10-11,1
2006-10-12,1
2006-10-13,4
2006-10-16,1
2006-10-25,6
2006-10-26,3
2006-11-01,1
2006-11-07,3
2006-11-09,1
2006-11-10,1
2006-11-15,1
2006-11-16,1
2006-11-20,1
2006-11-22,1
2006-11-24,2
2006-11-29,1
2006-11-30,1
2006-12-14,1
2006-12-18,1
2006-12-19,2
2006-12-21,3
2007-01-12,1
2007-01-24,2
2007-01-25,2
2007-02-02,2
2007-02-14,1
2007-02-27,1
2007-03-02,1
2007-03-06,2
2007-03-09,1
2007-03-13,2
2007-03-14,3
2007-03-15,12
2007-03-20,2
2007-03-22,1
2007-03-27,2
2007-03-29,9
2007-04-03,1
2007-04-04,1
2007-04-06,3
2007-04-19,1
2007-04-20,2
2007-05-01,2
2007-05-04,4
2007-05-10,2
2007-05-15,1
2007-05-18,1
2007-05-25,1
2007-05-29,1
2007-06-01,3
2007-06-05,1
2007-06-12,1
2007-06-15,2
2007-06-18,1
2007-06-22,1
2007-06-25,1
2007-06-29,1
2007-07-03,2
2007-07-06,1
2007-07-12,1
2007-07-17,5
2007-07-18,1
2007-07-20,1
2007-07-24,2
2007-07-26,1
2007-08-03,13
2007-08-06,1
2007-08-07,3
2007-08-20,1
2007-08-21,3
2007-08-28,3
2007-08-29,1
2007-08-30,1
2007-09-07,1
2007-09-11,1
2007-09-21,1
2007-09-24,1
2007-10-05,4
2007-10-10,4
2007-10-15,1
2007-10-16,1
2007-10-17,1
2007-10-26,2
2007-10-30,1
2007-11-02,1
2007-11-06,2
2007-11-07,1
2007-11-08,1
2007-11-12,1
2007-11-14,1
2007-12-13,3
2007-12-14,1
2007-12-21,2
2008-01-03,1
2008-01-04,5
2008-01-16,1
2008-01-18,1
2008-01-23,1
2008-01-25,1
2008-01-29,4
2008-02-08,1
2008-02-13,2
2008-02-15,3
2008-02-20,1
2008-02-28,1
2008-02-29,2
2008-03-07,1
2008-03-12,9
2008-03-17,1
2008-03-21,2
2008-04-01,2
2008-04-09,2
2008-04-16,3
2008-04-18,2
2008-05-08,2
2008-05-12,8
2008-05-13,5
2008-05-16,4
2008-05-19,1
2008-05-21,1
2008-05-22,2
2008-05-28,4
2008-06-04,1
2008-06-05,2
2008-06-10,14
2008-06-11,1
2008-06-13,4
2008-06-17,3
2008-06-18,1
2008-06-20,1
2008-06-24,1
2008-06-25,2
2008-06-27,1
2008-06-30,1
2008-07-01,2
2008-07-07,2
2008-07-08,2
2008-07-09,2
2008-07-15,6
2008-07-17,3
2008-07-18,1
2008-07-28,1
2008-07-29,8
2008-07-31,1
2008-08-07,4
2008-08-13,1
2008-08-14,3
2008-08-15,1
2008-08-18,1
2008-08-20,1
2008-08-21,2
2008-08-22,3
2008-08-26,2
2008-08-27,1
2008-08-28,4
2008-09-01,1
2008-09-04,5
2008-09-10,2
2008-09-15,1
2008-09-16,2
2008-09-17,2
2008-09-18,1
2008-09-19,2
2008-09-22,1
2008-09-23,2
2008-09-25,1
2008-09-29,2
2008-09-30,3
2008-10-01,1
2008-10-02,1
2008-10-03,7
2008-10-08,3
2008-10-10,3
2008-10-13,2
2008-10-14,2
2008-10-15,1
2008-10-16,2
2008-10-17,2
2008-10-20,1
2008-10-21,3
2008-10-22,2
2008-10-23,3
2008-10-24,8
2008-10-28,1
2008-10-29,1
2008-10-31,3
2008-11-01,1
2008-11-03,6
2008-11-06,3
2008-11-07,2
2008-11-13,2
2008-11-14,2
2008-11-17,1
2008-11-18,3
2008-11-19,1
2008-11-20,1
2008-11-21,1
2008-11-25,1
2008-11-26,1
2008-12-01,1
2008-12-04,2
2008-12-05,1
2008-12-08,1
2008-12-10,1
2008-12-12,5
2008-12-15,4
2008-12-18,7
2008-12-19,3
2009-01-01,12
2009-01-07,3
2009-01-08,1
2009-01-09,1
2009-01-14,2
2009-01-16,3
2009-01-22,3
2009-01-23,3
2009-01-28,2
2009-01-29,2
2009-01-30,1
2009-02-04,2
2009-02-06,2
2009-02-10,2
2009-02-11,2
2009-02-12,2
2009-02-13,6
2009-02-15,3
2009-02-18,3
2009-02-20,1
2009-02-23,2
2009-02-24,1
2009-02-25,1
2009-02-26,1
2009-02-27,1
2009-03-02,1
2009-03-03,1
2009-03-04,4
2009-03-05,2
2009-03-06,1
2009-03-09,6
2009-03-10,1
2009-03-13,2
2009-03-16,3
2009-03-17,1
2009-03-18,2
2009-03-19,11
2009-03-23,4
2009-03-24,2
2009-03-25,1
2009-03-26,1
2009-04-02,3
2009-04-07,2
2009-04-08,1
2009-04-09,1
2009-04-10,1
2009-04-11,1
2009-04-14,3
2009-04-15,5
2009-04-17,1
2009-04-20,1
2009-04-21,1
2009-04-22,8
2009-04-23,1
2009-04-27,2
2009-04-29,4
2009-04-30,3
2009-05-01,4
2009-05-05,3
2009-05-06,8
2009-05-08,1
2009-05-12,1
2009-05-14,1
2009-05-15,2
2009-05-18,1
2009-05-19,1
2009-05-20,2
2009-05-22,1
2009-05-26,2
2009-05-27,10
2009-05-28,2
2009-05-29,4
2009-06-01,1
2009-06-04,2
2009-06-08,1
2009-06-09,2
2009-06-10,1
2009-06-12,3
2009-06-15,1
2009-06-16,11
2009-06-17,2
2009-06-18,14
2009-06-19,1
2009-06-22,2
2009-06-23,1
2009-06-26,3
2009-07-01,2
2009-07-02,2
2009-07-03,5
2009-07-06,1
2009-07-07,3
2009-07-08,9
2009-07-09,1
2009-07-13,4
2009-07-15,1
2009-07-16,1
2009-07-17,7
2009-07-20,4
2009-07-21,1
2009-07-23,5
2009-07-24,4
2009-07-27,2
2009-07-28,2
2009-07-29,2
2009-07-30,3
2009-07-31,5
2009-08-03,6
2009-08-04,4
2009-08-05,1
2009-08-06,4
2009-08-07,4
2009-08-10,2
2009-08-12,11
2009-08-13,2
2009-08-17,2
2009-08-18,5
2009-08-19,6
2009-08-20,7
2009-08-24,11
2009-08-25,4
2009-08-26,1
2009-08-27,10
2009-08-28,4
2009-09-01,2
2009-09-03,6
2009-09-04,3
2009-09-05,1
2009-09-11,1
2009-09-14,2
2009-09-15,4
2009-09-16,7
2009-09-17,6
2009-09-21,2
2009-09-22,3
2009-09-23,3
2009-09-25,2
2009-09-28,1
2009-09-29,4
2009-09-30,1
2009-10-01,4
2009-10-02,3
2009-10-05,2
2009-10-06,5
2009-10-07,2
2009-10-08,3
2009-10-09,1
2009-10-10,8
2009-10-14,3
2009-10-15,4
2009-10-16,3
2009-10-19,1
2009-10-20,2
2009-10-21,2
2009-10-22,2
2009-10-27,4
2009-10-28,2
2009-10-29,3
2009-10-30,2
2009-11-01,1
2009-11-03,1
2009-11-04,12
2009-11-05,2
2009-11-06,2
2009-11-09,1
2009-11-11,3
2009-11-12,3
2009-11-13,4
2009-11-16,4
2009-11-17,2
2009-11-18,4
2009-11-19,3
2009-11-20,1
2009-11-24,3
2009-11-25,1
2009-12-01,2
2009-12-02,4
2009-12-03,2
2009-12-04,2
2009-12-07,1
2009-12-08,6
2009-12-09,1
2009-12-10,2
2009-12-11,1
2009-12-15,3
2009-12-16,1
2009-12-17,7
2009-12-18,2
2009-12-22,3
2009-12-23,1
2009-12-29,1
2010-01-04,2
2010-01-07,2
2010-01-08,1
2010-01-12,1
2010-01-13,5
2010-01-14,3
2010-01-15,1
2010-01-19,2
2010-01-22,3
2010-01-27,4
2010-01-28,1
2010-02-03,5
2010-02-04,1
2010-02-08,1
2010-02-09,2
2010-02-11,5
2010-02-12,1
2010-02-15,6
2010-02-16,5
2010-02-17,1
2010-02-18,7
2010-02-19,1
2010-02-20,3
2010-02-22,3
2010-02-23,1
2010-02-24,1
2010-02-25,2
2010-03-01,1
2010-03-02,4
2010-03-03,1
2010-03-04,3
2010-03-08,1
2010-03-09,1
2010-03-10,2
2010-03-11,3
2010-03-15,3
2010-03-16,3
2010-03-17,2
2010-03-19,1
2010-03-23,1
2010-03-26,3
2010-03-31,2
2010-04-05,1
2010-04-06,2
2010-04-08,1
2010-04-12,1
2010-04-13,1
2010-04-14,4
2010-04-15,1
2010-04-19,2
2010-04-20,6
2010-04-21,15
2010-04-22,1
2010-04-23,1
2010-04-26,3
2010-04-27,1
2010-04-28,5
2010-04-29,3
2010-05-04,1
2010-05-05,1
2010-05-06,11
2010-05-09,1
2010-05-10,1
2010-05-12,1
2010-05-14,3
2010-05-17,1
2010-05-19,3
2010-05-20,1
2010-05-21,3
2010-05-24,1
2010-05-25,3
2010-05-27,2
2010-05-28,2
2010-06-01,14
2010-06-02,1
2010-06-03,2
2010-06-04,2
2010-06-07,5
2010-06-08,1
2010-06-09,1
2010-06-10,1
2010-06-11,1
2010-06-14,1
2010-06-15,2
2010-06-16,3
2010-06-17,1
2010-06-21,4
2010-06-22,7
2010-06-23,1
2010-06-24,4
2010-06-25,1
2010-06-28,1
2010-06-29,1
2010-06-30,1
2010-07-06,4
2010-07-07,2
2010-07-08,4
2010-07-09,4
2010-07-10,3
2010-07-12,5
2010-07-13,2
2010-07-14,3
2010-07-15,2
2010-07-16,10
2010-07-19,4
2010-07-20,4
2010-07-21,1
2010-07-23,1
2010-07-26,2
2010-07-28,2
2010-07-30,1
2010-08-02,1
