AppID,ProductType,ProductName,RequiredAge,ControllerSupport,Dlc,ShortDescription,FullGameAppID,FullGameName,SupportedLanguages,HeaderImage,Website,PcRequirementsMin,PcRequirementsMax,Developers,Publishers,Demo,Price,WindowsCompatible,MacCompatible,LinuxCompatible,MetacriticScore,AchievementCount,ReleaseDate,DRM,Categories,Genres
2304980,game,"Surface: Project Dawn Collector's Edition",0,,"","After a car accident on the way to your new home, your daughter goes missing! Your search leads you to a town that’s abandoned… Or is it? Can you uncover the mystery behind Project Dawn and escape in time?",,"","English**languages with full audio support",https://cdn.akamai.steamstatic.com/steam/apps/2304980/header.jpg?t=1675442084,,"Minimum:OS: Windows XP/Windows Vista/Windows 7/Windows 8Processor: 2.0 GHzGraphics: N/AStorage: 909 MB available spaceSound Card: N/A","","Elephant Ar","Big Fish Games",,"13,79€",true,false,false,,,"3 Feb, 2023",,"Single-player","Adventure, Casual"
2305030,game,"Sex Simulator - The Yacht",0,,"","An interactive sex simulation game, featuring realistic high definition graphics and characters. You play the role a guy having fun on a luxurious yacht anchored near warm tropical islands.",,"","English",https://cdn.akamai.steamstatic.com/steam/apps/2305030/header.jpg?t=1675929837,http://www.exosyphen.com,"Minimum:OS: Windows XP/Vista/7/8Processor: 2 GHz Dual CoreMemory: 2 GB RAMGraphics: Graphics card supporting DirectX 9.0cDirectX: Version 9.0cStorage: 2 GB available spaceSound Card: Any","","EroticGamesClub","EroticGamesClub",,"2,99€",true,false,false,,3,"9 Feb, 2023",,"Single-player, Steam Achievements, Steam Leaderboards","Casual, Indie, Simulation"
2305050,game,"Phase Line: Raider Assault",0,,"","Phase Line: Raider Assault allows players to jump into high adrenaline combat arenas in various fictitious environments around the world. Partake in tactical battles in third-person perspective to battle with other online combatants for victory.",,"","English**languages with full audio support",https://cdn.akamai.steamstatic.com/steam/apps/2305050/header.jpg?t=1678064021,https://www.phaselinegame.com,"Minimum:Requires a 64-bit processor and operating systemOS: Windows® 10 64 bitProcessor: AMD Ryzen 5 or Intel® Core i5Memory: 8 GB RAMGraphics: NVIDIA® GeForce GTX 960 or AMD Radeon RX 470DirectX: Version 11Network: Broadband Internet connectionStorage: 10 GB available space","Recommended:Requires a 64-bit processor and operating systemOS: Windows® 10 64 bitProcessor: AMD Ryzen 7 or Intel® Core i7Memory: 12 GB RAMGraphics: NVIDIA® GeForce GTX 1060 or AMD Radeon RX 580DirectX: Version 11Network: Broadband Internet connectionStorage: 10 GB available space","Software Arts Studios LLC","Software Arts Studios LLC",,"",true,false,false,,,"15 Mar, 2023",,"Multi-player, PvP, Online PvP, Partial Controller Support, Stats","Action, Early Access"
2305060,game,"Hentai Jigsaw Puzzle Collection: Valentine’s Edition",0,,"","Enjoy the jigsaw puzzles with high quality sexy hentai girls that our Valentine’s Day theme. Move the puzzle pieces to make the complete image More then 14 different jigsaw puzzles to complete",,"","English*, French*, Italian*, German*, Spanish - Spain*, Arabic*, Bulgarian*, Czech*, Danish*, Dutch*, Finnish*, Greek*, Hungarian*, Japanese*, Korean*, Norwegian*, Polish*, Portuguese - Brazil*, Portuguese - Portugal*, Romanian*, Russian*, Simplified Chinese*, Spanish - Latin America*, Swedish*, Thai*, Traditional Chinese*, Turkish*, Ukrainian*, Vietnamese*, Afrikaans*, Albanian*, Amharic*, Armenian*, Assamese*, Azerbaijani*, Bangla*, Basque*, Belarusian*, Bosnian*, Catalan*, Cherokee*, Croatian*, Dari*, Estonian*, Filipino*, Galician*, Georgian*, Gujarati*, Hausa*, Hebrew*, Hindi*, Icelandic*, Igbo*, Indonesian*, Irish*, K'iche'*, Kannada*, Kazakh*, Khmer*, Kinyarwanda*, Konkani*, Kyrgyz*, Latvian*, Lithuanian*, Luxembourgish*, Macedonian*, Malay*, Malayalam*, Maltese*, Maori*, Marathi*, Mongolian*, Nepali*, Odia*, Persian*, Punjabi (Gurmukhi)*, Punjabi (Shahmukhi)*, Quechua*, Scots*, Serbian*, Sindhi*, Sinhala*, Slovak*, Slovenian*, Sorani*, Sotho*, Swahili*, Tajik*, Tamil*, Tatar*, Telugu*, Tigrinya*, Tswana*, Turkmen*, Urdu*, Uyghur*, Uzbek*, Valencian*, Welsh*, Wolof*, Xhosa*, Yoruba*, Zulu**languages with full audio support",https://cdn.akamai.steamstatic.com/steam/apps/2305060/header.jpg?t=1677075443,,"Minimum:OS: Windows 7 and upProcessor: x86, x64 architecture with SSE2 instruction set supportGraphics: DX10, DX11, DX12 capable","","NSFWEntertainment","NSFWEntertainment",,"1,99€",true,false,false,,,"22 Feb, 2023",,"Single-player","Casual"
2305100,game,"Loppy: Planet Hopper",0,,"","Inspired by old-school platformers, Loppy: Planet Hopper has aliens, bakers, alien bakers! and an evil multi-billion dollar corporation, and also a lot of wackiness!",,"","English",https://cdn.akamai.steamstatic.com/steam/apps/2305100/header.jpg?t=1676578287,https://www.voxpopgames.net/,"Minimum:Requires a 64-bit processor and operating systemOS: Windows 7 / 8 / 10 / 11Processor: Intel Core i7-9700K | AMD Ryzen™ 5 5600 6-CoreMemory: 4 GB RAMGraphics: NVIDIA GeForce GTX 550DirectX: Version 11Storage: 3 GB available spaceSound Card: Onboard audio","Recommended:Requires a 64-bit processor and operating system","QQnut Games","VoxPop Games, Inc.",,"",true,false,false,,,"Coming soon",,"Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Partial Controller Support, Remote Play Together","Action, Adventure, Casual, Indie"
2305110,game,"Photon Engineer",0,,"","Explore mysterious platforms near Jupiter in this sci-fi game. Manipulate lasers and the environment to progress through a variety of evolving challenges. How far will you go to uncover the secrets that await you?",,"","English, French, Portuguese - Brazil, Spanish - Latin America",https://cdn.akamai.steamstatic.com/steam/apps/2305110/header.jpg?t=1678107475,https://deervision.studio/,"Minimum:Requires a 64-bit processor and operating systemOS: Windows 10 / 11Processor: Intel Core i5-8400 / AMD Ryzen 5 2400GMemory: 8 GB RAMGraphics: GeForce GT 1030 / Radeon RX 550Storage: 2 GB available space","Recommended:Requires a 64-bit processor and operating systemOS: Windows 10 / 11Processor: Intel Core i5-8400 / AMD Ryzen 5 2400GMemory: 8 GB RAMGraphics: GeForce GTX 1060 3G / Radeon RX 580Storage: 2 GB available space","Grégory Petit","Deer Vision",,"",true,false,true,,,"March 2023",,"Single-player, Steam Achievements","Adventure, Indie"
2305160,game,"Manabi SandBox",0,,"","This is an action game in which you control a knight and explore unknown ruins. The goal is to collect all the fruits on the map while exterminating monsters. Overcome various difficulties with simple actions and ingenuity. The Knights never die, so don't give up and solve all the riddles.",,"","Japanese**languages with full audio support",https://cdn.akamai.steamstatic.com/steam/apps/2305160/header.jpg?t=1675956040,,"Minimum:Requires a 64-bit processor and operating systemOS: Windows10Processor: coreiMemory: 8 GB RAMGraphics: GTX1060DirectX: Version 10Storage: 1 GB available spaceSound Card: NAVR Support: NA","Recommended:Requires a 64-bit processor and operating system","Manabikeikaku","Manabikeikaku",,"",true,false,false,,,"Coming soon",,"Single-player","Action"
2305170,game,"Imaginary line Playtest",0,,"","",,"","",https://cdn.akamai.steamstatic.com/steam/apps/2305170/header.jpg?t=1675375235,,"","","","",,"",true,false,false,,,"2 Feb, 2023",,"",""
2305180,game,"You are the Judge!",0,,"","As a judge of the Kobardde court, solve complex cases inspired by actual events. Your decisions will directly affect people's (and perhaps yours) lives. You may have to make difficult decisions for your family, country, and life. What kind of judge will you be?",,"","English*, French, German, Russian, Turkish*languages with full audio support",https://cdn.akamai.steamstatic.com/steam/apps/2305180/header.jpg?t=1675500470,https://steel-games.com/,"Minimum:OS: Windows 7 SP1 / 8.1 / 10Processor: 3.0 GHz Dual-Core - Intel Core 2 Duo E8400Memory: 4 GB RAMGraphics: 512 MB VRAM, Intel HD 4400 / NVIDIA GeForce 9600GT / AMD Radeon HD 3850DirectX: Version 11Storage: 5 GB available space","Recommended:OS: Windows 7 SP1 / 8.1 / 10Processor: 3.1 GHz Dual-Core - Intel i3 2100Memory: 8 GB RAMGraphics: 1 GB VRAM, NVIDIA GeForce GTX 550 Ti / AMD Radeon HD 5850DirectX: Version 11Storage: 5 GB available space","Steel Games","Steel Games",,"",true,true,true,,,"Coming soon",,"Single-player, Steam Achievements","Indie, RPG, Simulation, Strategy"
2305320,game,"平凡的我與幽靈的同居生活",0,,"","物部才人在參加完父母的葬禮後回到家裡，但由於才人打算到東京找工作，於是便到東京尋找新居住的地方，在找了幾天後才人終於找到了一個便宜而且不錯的地方，因此爽快簽約並從原先的地方搬走，但入住後靈異事件不斷，打電話詢問經紀才知道這裡的上一手女主人死在這裡，簽約前也有跟自己說過，這時才人也隱約記起。 才人一開始並未完全接納伊藤，但在日復一日的相處下，才人和伊藤似乎都在彼此身上得到了某些東西，戀愛喜劇般的同居生活就此展開。",,"","Traditional Chinese",https://cdn.akamai.steamstatic.com/steam/apps/2305320/header.jpg?t=1677487639,,"Minimum:Requires a 64-bit processor and operating systemOS: Windows 7/8/8.1/10Processor: Core 2 Duo (Core i3 or higher recommended)Memory: 1 GB RAMGraphics: 1280 x 720Storage: 1 GB available space","Recommended:Requires a 64-bit processor and operating system","One Dream","One Dream",,"7,79€",true,false,false,,,"27 Feb, 2023",,"Single-player","Adventure, Simulation"
